epoch,accuracy,loss
0,0.04399999976158142,4.409770965576172
1,0.12166000157594681,3.808840036392212
2,0.1795399934053421,3.472581148147583
3,0.21702000498771667,3.26458740234375
4,0.24796000123023987,3.103254795074463
5,0.2759400010108948,2.959395408630371
6,0.2980799973011017,2.82914400100708
7,0.3188199996948242,2.715251922607422
8,0.34158000349998474,2.604994773864746
9,0.36333999037742615,2.5059168338775635
10,0.38137999176979065,2.4119553565979004
11,0.4011400043964386,2.3242783546447754
12,0.416920006275177,2.238197088241577
13,0.43463999032974243,2.161372423171997
14,0.45166000723838806,2.080049514770508
15,0.46983999013900757,2.001513957977295
16,0.4873200058937073,1.9278209209442139
17,0.5034999847412109,1.8542197942733765
18,0.5182399749755859,1.7821354866027832
19,0.53711998462677,1.7076420783996582
20,0.553879976272583,1.6401311159133911
21,0.5722000002861023,1.5666323900222778
22,0.5864800214767456,1.4945945739746094
23,0.6039000153541565,1.4220153093338013
24,0.6230199933052063,1.3479266166687012
25,0.6408200263977051,1.2780201435089111
26,0.6601399779319763,1.2067995071411133
27,0.6771799921989441,1.13508939743042
28,0.6952199935913086,1.0653836727142334
29,0.7107800245285034,0.9991811513900757
30,0.7298399806022644,0.9257941246032715
31,0.7493199706077576,0.8591622710227966
32,0.7661600112915039,0.7939050197601318
33,0.7820000052452087,0.7384644746780396
34,0.8025000095367432,0.670779824256897
35,0.8147000074386597,0.6188681721687317
36,0.8315600156784058,0.5609613060951233
37,0.8432199954986572,0.5188975930213928
38,0.8560400009155273,0.47436952590942383
39,0.8701199889183044,0.4242749512195587
40,0.8812199831008911,0.3880701959133148
41,0.8946200013160706,0.34414801001548767
42,0.9049599766731262,0.3137095272541046
43,0.913860023021698,0.28412196040153503
44,0.9162999987602234,0.2734389901161194
45,0.9196000099182129,0.2572696805000305
46,0.9269000291824341,0.2349105030298233
47,0.9375600218772888,0.2012041062116623
48,0.9426599740982056,0.18737225234508514
49,0.9477199912071228,0.16874398291110992
