epoch,accuracy,loss
0,0.0363599993288517,4.468338966369629
1,0.11556000262498856,3.8790764808654785
2,0.17591999471187592,3.5043721199035645
3,0.21559999883174896,3.2700111865997314
4,0.2466599941253662,3.1065008640289307
5,0.27480000257492065,2.9615960121154785
6,0.29958000779151917,2.8303487300872803
7,0.32199999690055847,2.7116174697875977
8,0.34209999442100525,2.606278657913208
9,0.3600800037384033,2.510446310043335
10,0.37790000438690186,2.419494152069092
11,0.39739999175071716,2.3334743976593018
12,0.4136199951171875,2.253322124481201
13,0.43226000666618347,2.1750197410583496
14,0.447299987077713,2.1003003120422363
15,0.463019996881485,2.0257298946380615
16,0.47933998703956604,1.9561840295791626
17,0.49630001187324524,1.8851238489151
18,0.5130000114440918,1.8141084909439087
19,0.5253599882125854,1.7478493452072144
20,0.5443199872970581,1.6774910688400269
21,0.557699978351593,1.6127688884735107
22,0.5753200054168701,1.5405442714691162
23,0.5902199745178223,1.4770396947860718
24,0.6092000007629395,1.4049791097640991
25,0.624459981918335,1.3375996351242065
26,0.6408399939537048,1.2786524295806885
27,0.6566399931907654,1.2055542469024658
28,0.6735600233078003,1.1374589204788208
29,0.6905400156974792,1.0735961198806763
30,0.7080399990081787,1.008965015411377
31,0.7262600064277649,0.9436636567115784
32,0.7440800070762634,0.8789879679679871
33,0.7581599950790405,0.8207995891571045
34,0.7741000056266785,0.7644922733306885
35,0.7939199805259705,0.6999484300613403
36,0.8058599829673767,0.6497434973716736
37,0.8174600005149841,0.6061795353889465
38,0.8325999975204468,0.553317666053772
39,0.8481000065803528,0.5007742047309875
40,0.8629599809646606,0.45494019985198975
41,0.8703399896621704,0.4245840311050415
42,0.8825799822807312,0.3873610496520996
43,0.8901000022888184,0.35665690898895264
44,0.8990399837493896,0.32902348041534424
45,0.9105200171470642,0.2931159436702728
46,0.9183200001716614,0.2705761194229126
47,0.9204599857330322,0.25131693482398987
48,0.9271199703216553,0.2394227385520935
49,0.9321600198745728,0.2225654423236847
